clinic_id,in_study,county,subcounty,province,tibu_patients,patients_per_month,pct_male,mean_age,pct_hiv_positive,pct_extrapulmonary,pct_retreatment,pct_bact_confirmed,pct_C,n_C,pct_D,n_D,pct_F,n_F,pct_LTFU,n_LTFU,pct_MISSING,n_MISSING,pct_NC,n_NC,pct_TC,n_TC,pct_TO,n_TO,density_per_sqkm,urban
1085,1,Kakamega,Lurambi,Western,618,29.4,65.7,34.8,31.1,17.0,9.4,76.7,31.6,195,14.2,88,0.3,2,11.5,71,0.0,0,5.2,32,36.4,225,0.8,5,1212.0,1.0
3651,1,Kakamega,Mumias West,Western,306,14.6,54.9,41.8,36.9,9.5,13.7,92.8,16.7,51,5.6,17,0.0,0,0.7,2,0.0,0,7.2,22,69.9,214,0.0,0,706.0,1.0
2593,1,Kakamega,Matungu,Western,228,10.9,61.0,42.9,17.0,4.4,4.8,64.5,25.0,57,5.3,12,0.0,0,2.2,5,0.0,0,4.4,10,60.1,137,3.1,7,606.0,1.0
2126,1,Kakamega,Malava,Western,223,13.1,53.8,37.4,42.6,34.1,4.5,74.0,28.3,63,11.7,26,1.3,3,3.1,7,0.0,0,1.8,4,53.8,120,0.0,0,566.0,1.0
871,1,Kakamega,Ikolomani,Western,183,9.2,71.0,44.2,26.2,3.3,2.7,59.0,38.8,71,9.3,17,0.5,1,0.5,1,0.5,1,2.7,5,47.5,87,0.0,0,764.0,1.0
2561,1,Kakamega,Shinyalu,Western,174,8.7,63.2,40.4,55.2,14.4,0.0,48.3,36.2,63,1.1,2,1.1,2,1.7,3,0.6,1,5.2,9,53.4,93,0.6,1,402.0,0.0
268,1,Kakamega,Butere,Western,155,8.6,65.8,43.4,29.7,14.8,5.2,34.8,19.4,30,13.5,21,0.6,1,1.3,2,0.0,0,3.2,5,61.9,96,0.0,0,734.0,1.0
1453,1,Kakamega,Khwisero,Western,134,8.4,57.5,36.6,51.1,0.7,6.7,86.6,26.9,36,7.5,10,0.0,0,0.0,0,0.0,0,4.5,6,60.4,81,0.7,1,779.0,1.0
1945,1,Kakamega,Likuyani,Western,105,6.2,64.8,36.5,27.6,2.9,1.9,71.4,49.5,52,2.9,3,0.0,0,0.0,0,0.0,0,0.0,0,47.6,50,0.0,0,481.0,0.0
2007,1,Kakamega,Lugari,Western,105,5.0,61.0,39.2,21.0,8.6,2.9,89.5,42.9,45,10.5,11,1.0,1,2.9,3,0.0,0,2.9,3,40.0,42,0.0,0,483.0,0.0
2265,1,Kakamega,Likuyani,Western,100,7.7,62.0,34.5,12.1,3.0,1.0,66.0,50.0,50,6.0,6,0.0,0,0.0,0,0.0,0,0.0,0,44.0,44,0.0,0,481.0,0.0
