clinic_id,n_tibu,n_study,mismatch_rate,type1_rate,type2_rate,missing_tibu_rate
0.0,273,222,0.13063063063063063,0.0,0.0,0.13063063063063063
8.0,5,4,0.0,0.0,0.0,0.0
9.0,20,18,0.2777777777777778,0.0,0.0,0.2777777777777778
17.0,52,47,0.0,0.0,0.0,0.0
20.0,145,126,0.023809523809523808,0.007936507936507936,0.015873015873015872,0.0
24.0,451,430,0.02558139534883721,0.0069767441860465115,0.0,0.018604651162790697
49.0,10,9,0.2222222222222222,0.2222222222222222,0.0,0.0
50.0,174,123,0.008130081300813009,0.008130081300813009,0.0,0.0
52.0,70,1,0.0,0.0,0.0,0.0
53.0,4,4,0.0,0.0,0.0,0.0
55.0,1,1,0.0,0.0,0.0,0.0
58.0,22,18,0.0,0.0,0.0,0.0
74.0,18,18,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0
75.0,82,81,0.024691358024691357,0.012345679012345678,0.012345679012345678,0.0
78.0,31,31,0.0,0.0,0.0,0.0
80.0,2,2,0.0,0.0,0.0,0.0
89.0,1,1,0.0,0.0,0.0,0.0
90.0,6,5,0.0,0.0,0.0,0.0
113.0,2,1,0.0,0.0,0.0,0.0
114.0,7,5,0.0,0.0,0.0,0.0
115.0,148,132,0.16666666666666666,0.007575757575757576,0.0,0.1590909090909091
128.0,2,2,0.0,0.0,0.0,0.0
135.0,1,1,0.0,0.0,0.0,0.0
159.0,7,1,0.0,0.0,0.0,0.0
162.0,243,122,0.040983606557377046,0.00819672131147541,0.00819672131147541,0.02459016393442623
172.0,53,42,0.0,0.0,0.0,0.0
189.0,3,3,0.0,0.0,0.0,0.0
190.0,2,2,0.0,0.0,0.0,0.0
200.0,27,23,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.0
203.0,1,1,1.0,1.0,0.0,0.0
210.0,28,24,0.041666666666666664,0.0,0.0,0.041666666666666664
213.0,390,368,0.024456521739130436,0.002717391304347826,0.016304347826086956,0.005434782608695652
243.0,2,1,0.0,0.0,0.0,0.0
245.0,7,7,0.0,0.0,0.0,0.0
248.0,3,2,0.0,0.0,0.0,0.0
322.0,12,12,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0
324.0,1,1,0.0,0.0,0.0,0.0
325.0,36,31,0.0,0.0,0.0,0.0
327.0,4,4,0.75,0.25,0.25,0.25
328.0,3,3,0.0,0.0,0.0,0.0
330.0,6,4,0.0,0.0,0.0,0.0
347.0,1,1,0.0,0.0,0.0,0.0
361.0,19,16,0.0,0.0,0.0,0.0
394.0,1,1,0.0,0.0,0.0,0.0
399.0,1,1,0.0,0.0,0.0,0.0
403.0,116,95,0.031578947368421054,0.021052631578947368,0.010526315789473684,0.0
405.0,3,1,1.0,1.0,0.0,0.0
433.0,1,1,1.0,0.0,0.0,1.0
445.0,2,1,0.0,0.0,0.0,0.0
448.0,3,3,0.0,0.0,0.0,0.0
449.0,134,119,0.058823529411764705,0.025210084033613446,0.008403361344537815,0.025210084033613446
450.0,1,1,0.0,0.0,0.0,0.0
452.0,8,8,0.0,0.0,0.0,0.0
454.0,1,1,0.0,0.0,0.0,0.0
467.0,1,1,0.0,0.0,0.0,0.0
482.0,814,712,0.016853932584269662,0.009831460674157303,0.004213483146067416,0.0028089887640449437
484.0,6,6,0.0,0.0,0.0,0.0
486.0,69,1,1.0,1.0,0.0,0.0
488.0,1,1,1.0,0.0,1.0,0.0
494.0,1,1,0.0,0.0,0.0,0.0
500.0,7,6,0.0,0.0,0.0,0.0
528.0,1,1,0.0,0.0,0.0,0.0
530.0,4,4,0.25,0.0,0.0,0.25
545.0,8,6,1.0,0.0,0.0,1.0
549.0,3,3,0.0,0.0,0.0,0.0
