trajectory,n,pct
GOOD,8237,49.7
NC,5822,35.1
BAD,1295,7.8
TO,682,4.1
NC->GOOD,260,1.6
GOOD->GOOD,95,0.6
NC->NC,52,0.3
NC->BAD,33,0.2
TO->GOOD,15,0.1
NC->TO,12,0.1
BAD->BAD,12,0.1
BAD->GOOD,9,0.1
GOOD->BAD,9,0.1
NC->NC->GOOD,9,0.1
NC->GOOD->GOOD,7,0.0
TO->TO,4,0.0
BLANK,4,0.0
TO->NC,3,0.0
GOOD->NC,2,0.0
NC->NC->NC,2,0.0
BAD->NC,1,0.0
GOOD->GOOD->BAD->NC->GOOD,1,0.0
GOOD->NC->GOOD,1,0.0
NC->NC->TO->NC->NC->BAD,1,0.0
TO->NC->BAD->GOOD,1,0.0
BAD->NC->NC->GOOD,1,0.0
NC->NC->NC->NC,1,0.0
TO->GOOD->GOOD->GOOD,1,0.0
BLANK->GOOD,1,0.0
NC->BLANK->GOOD,1,0.0
GOOD->GOOD->GOOD,1,0.0
TO->GOOD->GOOD,1,0.0
BLANK->TO,1,0.0
BLANK->BLANK,1,0.0
