stratum,n_paper_denom,n_tibu_denom,paper_tsr,tibu_tsr,bias_pp,n_type1,n_type2,n_missing,rank_tibu,rank_paper,rank_shift
Central,24,13,83.3,92.3,9.0,0,0,11,2,9,-7
Coast,686,674,86.3,86.8,0.5,7,2,12,8,7,1
Eastern South,254,232,88.6,89.2,0.6,4,2,22,6,5,1
Nairobi,362,359,90.1,90.3,0.2,5,4,3,3,3,0
North Eastern,724,722,89.1,89.9,0.8,9,3,2,5,4,1
Nyanza North,382,379,84.8,83.6,-1.2,2,7,3,9,8,1
Nyanza South,41,41,97.6,100.0,2.4,1,0,0,1,1,0
Rift Valley North,38,38,81.6,81.6,0.0,0,0,0,10,10,0
Rift Valley South,379,350,88.4,89.1,0.8,2,2,29,7,6,1
Western,32,31,90.6,90.3,-0.3,1,1,1,3,2,1
